username,balance,interest rate
tkemetz0,36535.00,1.00
mpeascod1,36893.00,1.00
hbuddles2,92669.00,1.00
zyurchenko3,92541.00,0.00
adautry4,13025.00,0.00
dharsant5,41820.00,0.00
wjanda6,21495.00,0.00
mgeere7,17961.00,0.00
losban8,53937.00,0.00
posment9,36204.00,1.00
fkarbya,80269.00,1.00
ppuddleb,85857.00,1.00
msympsonc,13316.00,0.00
ecogzelld,63939.00,1.00
gdulieue,11304.00,1.00
lemlochf,62252.00,1.00
abrudenellg,40104.00,1.00
cbarberah,44476.00,1.00
mlotheringtoni,60967.00,1.00
iperrij,26083.00,1.00
alumsdalek,48188.00,1.00
kol,10344.00,0.00
fhavockm,59915.00,1.00
cpettyn,2782.00,1.00
wlereo,25775.00,1.00
jabisettip,38860.00,0.00
mwoosnamq,63832.00,0.00
vzannuttir,11123.00,1.00
tspehrs,17960.00,1.00
mchampkint,37445.00,0.00
oelcoateu,47682.00,1.00
wsonv,1672.00,0.00
echarplingw,50811.00,0.00
emorterx,65118.00,0.00
mminilloy,37393.00,1.00
sjinaz,62283.00,1.00
bcargill10,1188.00,0.00
dcolum11,92381.00,0.00
alonghorn12,89628.00,1.00
awreath13,37110.00,0.00
ljojic14,25278.00,0.00
solivie15,28310.00,1.00
lcullingworth16,31110.00,1.00
jsoar17,13439.00,1.00
leverson18,7320.00,1.00
thadlington19,431.00,1.00
cqualtro1a,5261.00,0.00
mkenwood1b,39553.00,0.00
smeriel1c,27973.00,0.00
swoolmer1d,98253.00,0.00
gfessby1e,68027.00,0.00
cfanshaw1f,37336.00,1.00
mwindas1g,92772.00,1.00
tchaffer1h,8970.00,0.00
selverston1i,1730.00,1.00
awinkett1j,25224.00,0.00
sstitch1k,3522.00,1.00
sspadazzi1l,3367.00,1.00
bfayne1m,6515.00,0.00
bcrosham1n,70880.00,1.00
egrocott1o,19536.00,0.00
fbetham1p,87158.00,1.00
studor1q,63694.00,0.00
blinacre1r,53300.00,0.00
pdaughton1s,31158.00,1.00
ngofforth1t,27382.00,0.00
horbine1u,70985.00,1.00
kdikelin1v,50183.00,1.00
wjedraszczyk1w,56105.00,0.00
ccannavan1x,41441.00,1.00
aantonescu1y,7986.00,1.00
rkiley1z,60811.00,1.00
mgriffin20,2202.00,0.00
gdavie21,34833.00,0.00
ngoodacre22,11977.00,0.00
tdoxey23,97397.00,0.00
nclows24,33910.00,1.00
bmunns25,58028.00,1.00
lpottery26,95323.00,0.00
dmitkin27,71097.00,1.00
plortz28,34557.00,1.00
frappaport29,44960.00,1.00
rcason2a,95110.00,1.00
hblackway2b,60239.00,0.00
bforsyth2c,50623.00,1.00
lfullylove2d,58129.00,1.00
cosharry2e,59517.00,1.00
jeaston2f,30779.00,0.00
mcory2g,93352.00,1.00
ekillingsworth2h,34849.00,1.00
nschuh2i,60393.00,1.00
dcoombs2j,63439.00,1.00
cregi2k,65846.00,1.00
gdudgeon2l,25961.00,0.00
mpittendreigh2m,6582.00,0.00
mstolle2n,96051.00,0.00
vleask2o,5689.00,0.00
sblackshaw2p,91592.00,0.00
nle2q,27927.00,1.00
tbrabbins2r,12642.00,1.00
testuser,0.00,1.50
