username,balance,overdraft fees
tkemetz0,1033.6,28.66
mpeascod1,9031.24,42.85
hbuddles2,8042.85,32.53
zyurchenko3,5678.59,3.26
adautry4,2198.79,49.0
dharsant5,9749.71,1.72
wjanda6,1768.68,2.14
mgeere7,8535.86,23.08
losban8,906.6,27.64
posment9,4987.77,27.47
fkarbya,4014.49,42.77
ppuddleb,9626.68,5.8
msympsonc,9115.89,35.93
ecogzelld,9165.07,46.32
gdulieue,4199.62,6.84
lemlochf,940.67,0.01
abrudenellg,7124.42,16.88
cbarberah,5219.43,30.58
mlotheringtoni,3081.0,3.29
iperrij,9433.11,31.18
alumsdalek,4533.27,15.78
kol,2355.18,5.78
fhavockm,7719.7,4.42
cpettyn,2307.61,19.14
wlereo,5551.84,22.26
jabisettip,261.06,16.28
mwoosnamq,3963.45,43.93
vzannuttir,5074.9,10.61
tspehrs,558.24,22.04
mchampkint,5148.35,45.24
oelcoateu,8324.21,49.58
wsonv,6451.28,7.23
echarplingw,1075.25,20.97
emorterx,3879.3,23.25
mminilloy,3878.85,12.68
sjinaz,7007.23,6.94
bcargill10,3835.63,35.76
dcolum11,7190.75,48.38
alonghorn12,7798.15,21.99
awreath13,5507.11,19.54
ljojic14,1212.32,31.45
solivie15,6911.73,34.78
lcullingworth16,1946.93,42.37
jsoar17,5841.2,40.84
leverson18,2126.59,49.09
thadlington19,2784.03,34.99
cqualtro1a,2071.86,3.83
mkenwood1b,2222.01,45.11
smeriel1c,4303.35,39.95
swoolmer1d,9436.22,17.54
gfessby1e,8407.51,48.25
cfanshaw1f,7413.8,16.44
mwindas1g,952.56,8.44
tchaffer1h,1161.41,28.22
selverston1i,8684.4,32.29
awinkett1j,1415.57,48.18
sstitch1k,1816.88,22.31
sspadazzi1l,5454.37,44.03
bfayne1m,6990.31,26.14
bcrosham1n,7896.49,21.06
egrocott1o,5887.4,3.89
fbetham1p,4624.68,3.4
studor1q,3838.22,34.72
blinacre1r,9791.59,11.64
pdaughton1s,1121.8,34.08
ngofforth1t,2938.35,21.68
horbine1u,9949.68,24.93
kdikelin1v,1432.43,9.8
wjedraszczyk1w,9240.0,42.59
ccannavan1x,3602.85,47.2
aantonescu1y,3557.25,42.51
rkiley1z,5646.09,47.19
mgriffin20,8626.74,19.47
gdavie21,7674.89,1.93
ngoodacre22,802.97,44.8
tdoxey23,5799.5,39.44
nclows24,4875.3,7.34
bmunns25,3188.7,13.27
lpottery26,5749.99,0.23
dmitkin27,4000.38,42.42
plortz28,6217.9,21.91
frappaport29,2894.92,13.35
rcason2a,403.43,32.45
hblackway2b,3546.31,31.77
bforsyth2c,6058.59,49.4
lfullylove2d,9691.08,19.55
cosharry2e,1882.68,25.41
jeaston2f,5177.26,0.72
mcory2g,424.62,10.08
ekillingsworth2h,1069.48,23.89
nschuh2i,779.52,24.4
dcoombs2j,2408.31,10.34
cregi2k,2218.61,32.99
gdudgeon2l,3140.11,23.58
mpittendreigh2m,7232.29,13.21
mstolle2n,986.5,40.44
vleask2o,7011.43,5.39
sblackshaw2p,6671.92,40.92
nle2q,2309.65,35.02
tbrabbins2r,7231.94,10.64
