date,temperature,wind_speed,wind_direction,pressure,humidity
2023-12-1,18.0,40.0,355.0,1908.0,84.0
2023-12-2,13.0,21.0,209.0,1799.0,38.0
2023-12-3,23.0,8.0,292.0,1456.0,71.0
2023-12-4,9.0,42.0,38.0,261.0,23.0
2023-12-5,23.0,4.0,115.0,927.0,2.0
2023-12-6,34.0,45.0,177.0,583.0,81.0
2023-12-7,22.0,31.0,330.0,1260.0,17.0
2023-12-8,26.0,5.0,346.0,1282.0,67.0
2023-12-9,20.0,22.0,313.0,1623.0,21.0
2023-12-10,1.0,0.0,298.0,1503.0,81.0
2023-12-11,27.0,10.0,266.0,40.0,31.0
2023-12-12,6.0,44.0,281.0,1959.0,94.0
2023-12-13,23.0,8.0,147.0,1023.0,69.0
2023-12-14,1.0,13.0,353.0,1841.0,45.0
2023-12-15,16.0,9.0,177.0,1571.0,43.0
2023-12-16,3.0,2.0,256.0,198.0,94.0
2023-12-17,4.0,36.0,103.0,287.0,37.0
2023-12-18,1.0,6.0,282.0,985.0,58.0
2023-12-19,28.0,41.0,274.0,1983.0,55.0
2023-12-20,30.0,0.0,252.0,1026.0,34.0
2023-12-21,31.0,24.0,32.0,1703.0,64.0
2023-12-22,23.0,6.0,54.0,482.0,49.0
2023-12-23,21.0,0.0,180.0,642.0,19.0
2023-12-24,0.0,9.0,290.0,1286.0,1.0
2023-12-25,32.0,4.0,154.0,1169.0,52.0
2023-12-26,10.0,34.0,346.0,339.0,43.0
2023-12-27,29.0,31.0,141.0,426.0,26.0
2023-12-28,6.0,38.0,273.0,1700.0,86.0
2023-12-29,8.0,28.0,172.0,482.0,11.0
2023-12-30,18.0,22.0,6.0,1065.0,21.0
2023-12-31,17.0,7.0,212.0,1550.0,70.0
