Tank,Net SL Earnings,RP Earned,BR,Outcome of Match,Kills,Deaths,Assists,Date
XM-803,1529,968,9,Defeat,,,,2/9
XM-803,320,827,9,Defeat,,,,2/9
XM-803,-51,1202,9,Defeat,,,,2/9
XM-803,-2907,1444,9,Victory,,,,2/9
XM-803,1183,2251,9,Defeat,,,,2/9
XM-803,3418,3708,9,Defeat,,,,2/9
XM-803,3118,1117,9,Defeat,,,,2/9
XM-803,7953,5636,9,Defeat,,,,2/9
XM-803,670,4715,9,Defeat,,,,2/10
XM-803,1284,4262,9,Victory,,,,2/10
XM-803,2210,1852,9,Defeat,,,,2/10
XM-803,9155,4331,9,Victory,,,,2/10
XM-803,-4138,306,9,Defeat,,,,2/10
XM-803,-4220,558,9,Victory,,,,2/10
XM-803,5308,4078,9,Victory,,,,2/10
