champion,winRate,rangeType
Jinx,0.506,Ranged
Jhin,0.527,Ranged
Milio,0.523,Ranged
Thresh,0.508,Ranged
Ahri,0.522,Ranged
Kog'Maw,0.534,Ranged
Janna,0.541,Ranged
Aurelion Sol,0.528,Ranged
Annie,0.533,Ranged
Ezreal,0.497,Ranged
Lulu,0.485,Ranged
Graves,0.511,Ranged
Yuumi,0.504,Ranged
Viktor,0.514,Ranged
Sona,0.535,Ranged
Xerath,0.522,Ranged
Malzahar,0.518,Ranged
Fiddlesticks,0.529,Ranged
Anivia,0.533,Ranged
Neeko,0.521,Ranged
Karthus,0.555,Ranged
Kai'Sa,0.494,Ranged
Aphelios,0.489,Ranged
Xayah,0.51,Ranged
Lucian,0.517,Ranged
Caitlyn,0.502,Ranged
Senna,0.508,Ranged
Nami,0.506,Ranged
Lux,0.511,Ranged
Twitch,0.515,Ranged
Draven,0.505,Ranged
Syndra,0.507,Ranged
Veigar,0.504,Ranged
Miss Fortune,0.522,Ranged
Akshan,0.506,Ranged
Lissandra,0.51,Ranged
Vladimir,0.513,Ranged
Lux,0.51,Ranged
Vex,0.519,Ranged
Cassiopeia,0.523,Ranged
Zoe,0.512,Ranged
Akshan,0.512,Ranged
Quinn,0.521,Ranged
Xerath,0.523,Ranged
Ziggs,0.516,Ranged
Annie,0.523,Ranged
Taliyah,0.525,Ranged
Swain,0.53,Ranged
Karma,0.484,Ranged
Varus,0.498,Ranged
Zeri,0.494,Ranged
Kindred,0.491,Ranged
Nidalee,0.502,Ranged
Soraka,0.509,Ranged
Samira,0.493,Ranged
LeBlanc,0.492,Ranged
Morgana,0.49,Ranged
Teemo,0.508,Ranged
Seraphine,0.503,Ranged
Elise,0.508,Ranged
Zyra,0.509,Ranged
Urgot,0.512,Ranged
Orianna,0.504,Ranged
Karthus,0.503,Ranged
Vel'Koz,0.512,Ranged
Vladimir,0.509,Ranged
Vayne,0.478,Ranged
Ashe,0.489,Ranged
Tristana,0.493,Ranged
Ashe,0.469,Ranged
Sivir,0.491,Ranged
Gnar,0.496,Ranged
Kennen,0.489,Ranged
Twisted Fate,0.479,Ranged
Swain,0.495,Ranged
Zilean,0.498,Ranged
Neeko,0.468,Ranged
Bard,0.5,Ranged
Brand,0.498,Ranged
Neeko,0.49,Ranged
Vayne,0.479,Ranged
Renata Glasc,0.504,Ranged
Tristana,0.492,Ranged
Kalista,0.458,Ranged
Azir,0.498,Ranged
Ryze,0.48,Ranged
Corki,0.46,Ranged
Kai'Sa,0.471,Ranged
Heimerdinger,0.498,Ranged
