Tank,Net SL Earnings,RP Earned,BR,Outcome of Match,Kills,Deaths,Assists,Date
XM-803,1529,968,9,Defeat,,,,2/9
XM-803,320,827,9,Defeat,,,,2/9
XM-803,-51,1202,9,Defeat,,,,2/9
"XM-803, M60A1 (AOS)",-2907,1444,9,Victory,,,,2/9
XM-803,1183,2251,9,Defeat,,,,2/9
XM-803,3418,3708,9,Defeat,,,,2/9
XM-803,3118,1117,9,Defeat,,,,2/9
XM-803,7953,5636,9,Defeat,,,,2/9
"XM-803, P-63A-5",670,4715,9,Defeat,,,,2/10
"XM-803, M60A1 (AOS)",1284,4262,9,Victory,,,,2/10
XM-803,2210,1852,9,Defeat,,,,2/10
"XM-803, M60A1 (AOS)",9155,4331,9,Victory,,,,2/10
XM-803,-4138,306,9,Defeat,,,,2/10
XM-803,-4220,558,9,Victory,,,,2/10
XM-803,5308,4078,9,Victory,,,,2/10
"M24, M4, P63-A-5",10248,798,3.7,Victory,,,,2/26/2023 23:34:54
"M24, M4, P63-A-5",6388,437,3.7,Defeat,,,,2/26/2023 5:10:04 PM
"M24, P63-A-5",30206,2064,3.7,Defeat,,,,2/26/2023 16:55:09
"M24, M4, P63-A-5",5328,798,3.7,Victory,,,,2/26
"M24, M4, P63-A-5",555,437,3.7,Defeat,,,,2/26
"M24, P63-A-5",25516,2604,3.7,Defeat,,,,2/26
"M24, M4, M10 GMC, M16 MGMC, P63-A-5",13261,2455,3.7,Defeat,,,,2/26
"M4, M16, P63-A-5",9796,1503,3.7,Victory,,,,2/25
"M4, P63-A-5",10201,2718,3.7,Victory,,,,2/25
M4,5778,454,3.7,Victory,,,,2/25
"M24, M4, M16 MGMC",8419,547,3.7,Defeat,,,,2/25
"M24, M10 GMC, M16 MGMC",9141,996,3.7,Defeat,,,,2/25
"T34, M56, M19A1",9367,627,6.7,Victory,,,,2/25
"T34, T92, M56, M19A1",5024,4323,6.7,Victory,,,,2/25
XM-803,-4355,408,9,Defeat,,,,2/24
T34,9264,1845,6.7,Victory,,,,2/22
,7441,,,,,,,
,4223,,,,,,,
,2602,,,,,,,
,-2397,,,,,,,
,6958,,,,,,,
,2986,,,,,,,
,38344,,,,,,,
,7907,,,,,,,
,3147,,,,,,,
,14940,,,,,,,
,1180,,,,,,,
,5843,,,,,,,
,38110,,,,,,,
,8777,,,,,,,
,18342,,,,,,,
,19447,,,,,,,
,-3049,,,,,,,
,-2648,,,,,,,
,11395,,,,,,,
,25225,,,,,,,
,-71,,,,,,,
,18614,,,,,,,
,-2202,,,,,,,
,-8947,,,,,,,
,-4738,,,,,,,
,17471,,,,,,,
,3037,,,,,,,
,32197,,,,,,,
